"species","plotID","uncertainty","canopyPosition","crownDiameter","x","y"
"Acer saccharum Marshall","plot065",0.74,"Partially shaded",6,-89.5334736811327,46.2361810572977
"Acer rubrum L.","plot065",0.79,"Partially shaded",7.1,-89.5336577443164,46.2362947179044
"Populus tremuloides Michx.","plot065",0.82,"Full sun",8.3,-89.5339293588428,46.2361663928352
"Populus tremuloides Michx.","plot065",0.76,"Full sun",7.2,-89.5336759550399,46.2361532582998
"Populus tremuloides Michx.","plot065",0.78,"Full sun",6.6,-89.5337921774829,46.2362940295354
"Populus tremuloides Michx.","plot065",0.78,"Partially shaded",4.5,-89.5338278149086,46.2362870220825
"Populus tremuloides Michx.","plot065",0.78,"Partially shaded",4.4,-89.5338062548862,46.2363093371995
"Populus tremuloides Michx.","plot065",0.76,"Full sun",10.1,-89.5336642421804,46.2362175120589
"Populus tremuloides Michx.","plot065",0.76,"Full sun",4.6,-89.5336362296284,46.2362319937017
"Populus tremuloides Michx.","plot065",0.78,"Full sun",6.7,-89.5338411485035,46.2362843719141
"Populus tremuloides Michx.","plot065",0.78,"Full sun",7.7,-89.5338173122884,46.2362565967931
"Populus tremuloides Michx.","plot065",0.82,"Full sun",11.2,-89.5338611035003,46.2361816349493
"Populus tremuloides Michx.","plot065",0.82,"Partially shaded",7.8,-89.5338606769685,46.2361972139062
"Acer rubrum L.","plot065",0.79,"Partially shaded",8.9,-89.5337315894632,46.2362732384241
"Acer rubrum L.","plot065",0.79,"Partially shaded",7.6,-89.5336954608595,46.236274699628
"Acer rubrum L.","plot065",0.76,"Partially shaded",8.6,-89.5336650960799,46.2361966492996
"Populus tremuloides Michx.","plot065",0.78,"Full sun",8.3,-89.5338868140584,46.2362498775832
"Populus tremuloides Michx.","plot065",0.78,"Full sun",6,-89.5338629728439,46.2362875433559
"Populus grandidentata Michx.","plot065",0.76,"Full sun",8.6,-89.5337446732505,46.236168304383
"Populus tremuloides Michx.","plot065",0.76,"Full sun",9.1,-89.5336748359987,46.2361955505982
"Populus tremuloides Michx.","plot065",0.78,"Full sun",5.1,-89.5338628591043,46.2362985536246
"Betula papyrifera Marshall","plot065",0.76,"Full sun",14.5,-89.5337354615282,46.2362308683385
"Acer saccharum Marshall","plot065",0.79,"Partially shaded",8.6,-89.5335057036567,46.2363300786498
"Acer saccharum Marshall","plot065",0.76,"Partially shaded",7.4,-89.5334862633416,46.2362814516331
"Acer rubrum L.","plot065",0.79,"Partially shaded",6.9,-89.5336315044047,46.236260572372
"Populus grandidentata Michx.","plot065",0.74,"Full sun",11.4,-89.5334287853862,46.2361558834153
"Acer saccharum Marshall","plot065",0.74,"Partially shaded",7.4,-89.5334203688677,46.2361803853889
"Acer rubrum L.","plot065",0.74,"Partially shaded",6.5,-89.5334390121285,46.2361889545185
"Populus tremuloides Michx.","plot065",0.74,"Full sun",7.2,-89.5334753341365,46.2361727258999
"Acer saccharum Marshall","plot065",0.74,"Partially shaded",8.2,-89.5335099573929,46.2361621997316
"Populus grandidentata Michx.","plot065",0.76,"Full sun",8.1,-89.5335533509056,46.2361585324853
"Populus tremuloides Michx.","plot065",0.76,"Full sun",7.5,-89.5335714162284,46.2361910036578
"Acer rubrum L.","plot065",0.79,"Partially shaded",11.3,-89.5335636692458,46.2362100752841
"Populus tremuloides Michx.","plot065",0.76,"Full sun",7.1,-89.5335838179607,46.2361800223936
"Acer saccharum Marshall","plot065",0.76,"Partially shaded",10.3,-89.5336232785031,46.2362045549495
"Populus tremuloides Michx.","plot065",0.76,"Full sun",6.4,-89.5336105356912,46.2362179626079
"Populus tremuloides Michx.","plot065",0.76,"Full sun",8.1,-89.5336246881361,46.2362584493049
"Populus tremuloides Michx.","plot065",0.79,"Full sun",6.6,-89.5336317446952,46.2362797485683
"Acer rubrum L.","plot065",0.79,"Partially shaded",6.3,-89.5335740119216,46.2362778733912
"Acer saccharum Marshall","plot065",0.79,"Partially shaded",8,-89.5335328246254,46.2362863941132
"Acer rubrum L.","plot065",0.79,"Partially shaded",7.5,-89.5335603177213,46.2363049785437
"Populus tremuloides Michx.","plot065",0.79,"Full sun",8.9,-89.5334886906333,46.2363157652197
"Populus tremuloides Michx.","plot065",0.79,"Full sun",5.3,-89.5334396482198,46.2363253083499
"Populus tremuloides Michx.","plot065",0.79,"Full sun",8.9,-89.5334821967635,46.2363045466757
"Acer saccharum Marshall","plot065",0.76,"Partially shaded",7.1,-89.5334501811049,46.2363052948597
"Acer saccharum Marshall","plot065",0.74,"Partially shaded",6.6,-89.5333940716415,46.2362560526719
"Populus tremuloides Michx.","plot065",0.74,"Full sun",6.6,-89.5333946615232,46.2362442655906
"Acer rubrum L.","plot065",0.76,"Partially shaded",9.4,-89.5334694995718,46.236233575111
"Populus tremuloides Michx.","plot065",0.79,"Full sun",9.6,-89.5334731805913,46.2362504622164
"Acer rubrum L.","plot065",0.79,"Partially shaded",9.8,-89.5335793455468,46.2362565159263
"Populus tremuloides Michx.","plot065",0.79,"Full sun",12.4,-89.5335755346477,46.2362561121668
"Populus tremuloides Michx.","plot065",0.74,"Full sun",6.5,-89.533392905057,46.2362263010717
"Populus tremuloides Michx.","plot065",0.74,"Full sun",7,-89.5334100549592,46.2362164418802
"Populus tremuloides Michx.","plot065",0.79,"Partially shaded",6.7,-89.5334876981174,46.2362725064875
"Acer rubrum L.","plot065",0.76,"Partially shaded",8.5,-89.5336895477258,46.2361578005492
"Populus tremuloides Michx.","plot065",0.78,"Full sun",5.9,-89.5338941039497,46.2362681308934
"Populus tremuloides Michx.","plot065",0.79,"Full sun",4.9,-89.5337506200442,46.2363088829748
